Id,Name,Type,Level,Race,Attribute,ATK,DEF
820,The Winged Dragon of Ra - Immortal Phoenix,Effect Monster,10,Divine-Beast,DIVINE,4000,4000
821,Gachi Gachi Gantetsu,XYZ Monster,2,Rock,EARTH,500,1800
822,Crystal Release,Spell Card,,Equip,,,
823,Banner of Courage,Spell Card,,Continuous,,,
824,Worm King,Effect Monster,8,Reptile,LIGHT,2700,1100
825,Reborn Tengu,Effect Monster,4,Beast-Warrior,WIND,1700,600
826,Divine Dragon - Excelion,Effect Monster,5,Dragon,LIGHT,1500,900
827,Weapon Change,Spell Card,,Continuous,,,
828,Koa'ki Meiru Rooklord,Effect Monster,7,Warrior,EARTH,2800,2200
829,Spell-Stopping Statute,Trap Card,,Counter,,,
830,Protector of the Throne,Normal Monster,4,Warrior,EARTH,800,1500
831,Jurassic World,Spell Card,,Field,,,
832,Tiger Dragon,Effect Monster,6,Dragon,EARTH,2400,1800
833,Mecha Bunny,Effect Monster,2,Machine,EARTH,800,100
834,Deskbot 005,Pendulum Effect Monster,5,Machine,EARTH,500,500
835,Reinforce Truth,Trap Card,,Normal,,,
836,Wingtortoise,Effect Monster,3,Aqua,WIND,1500,1400
837,R-Genex Oracle,Tuner Monster,1,Spellcaster,DARK,300,300
838,Masked Sorcerer,Effect Monster,4,Spellcaster,DARK,900,1400
839,Raidraptor - Avenge Vulture,Effect Monster,4,Winged Beast,DARK,1700,100
840,Skull Red Bird,Normal Monster,4,Winged Beast,WIND,1550,1200
841,Decayed Commander,Effect Monster,4,Zombie,EARTH,1000,1500
842,Goe Goe the Gallant Ninja,Effect Monster,4,Warrior,WIND,1500,1000
843,Magical Abductor,Pendulum Effect Monster,4,Spellcaster,EARTH,1700,1400
844,Hieroglyph Lithograph,Spell Card,,Normal,,,
845,Cyber Blader,Fusion Monster,7,Warrior,EARTH,2100,800
846,The Statue of Easter Island,Normal Monster,4,Rock,EARTH,1100,1400
847,Xyz Revenge,Spell Card,,Normal,,,
848,Planckton,Trap Card,,Normal,,,
849,Yaiba Robo,Normal Monster,4,Machine,DARK,1000,1300
850,Sunlight Unicorn,Effect Monster,4,Beast,LIGHT,1800,1000
851,Scroll of Bewitchment,Spell Card,,Equip,,,
852,Ignition Beast Volcannon,Fusion Monster,6,Machine,EARTH,2300,1600
853,Command Knight,Effect Monster,4,Warrior,FIRE,1200,1900
854,Frightfur Leo,Fusion Monster,7,Fiend,DARK,2400,2000
855,Battle Eagle Token,Token,,Machine,,,
856,Doom Donuts,Flip Effect Monster,1,Fiend,DARK,0,0
857,"Alsei, the Sylvan High Protector",XYZ Monster,8,Plant,LIGHT,2300,3200
858,Super Quantal Mech Ship Magnacarrier,Spell Card,,Field,,,
859,Cyber Dragon Infinity,XYZ Monster,6,Machine,LIGHT,2100,1600
860,Shuttleroid,Effect Monster,4,Machine,WIND,1000,1200
861,T.A.D.P.O.L.E.,Effect Monster,1,Aqua,WATER,0,0
862,Barrel Rock,Normal Monster,4,Rock,EARTH,1000,1300
863,Ocean Dragon Lord - Neo-Daedalus,Effect Monster,8,Sea Serpent,WATER,2900,1600
864,Hero Medal,Trap Card,,Normal,,,
865,Ancient Gear Beast,Effect Monster,6,Machine,EARTH,2000,2000
866,Elemental HERO Wildedge,Fusion Monster,8,Warrior,EARTH,2600,2300
867,Sylvan Sagequoia,Effect Monster,7,Plant,WIND,2600,2100
868,Hyper-Ancient Shark Megalodon,Effect Monster,8,Fish,WATER,2900,1300
869,Return Soul,Trap Card,,Normal,,,
870,Leogun,Normal Monster,5,Beast,EARTH,1750,1550
871,Fishborg Doctor,Effect Monster,4,Fish,WATER,400,400
872,Morphtronic Scopen,Tuner Monster,3,Machine,LIGHT,800,1400
873,Zarigun,Normal Monster,2,Aqua,WATER,600,700
874,Sacred Noble Knight of King Artorigus,XYZ Monster,5,Warrior,LIGHT,2200,2200
875,Swallow Flip,Trap Card,,Counter,,,
876,Ancient Rules,Spell Card,,Normal,,,
877,Aegaion the Sea Castrum,XYZ Monster,8,Machine,WATER,0,3000
878,Mirror of the Ice Barrier,Spell Card,,Quick-Play,,,
879,Vylon Stigma,Effect Monster,4,Fairy,LIGHT,1600,1000
880,Fire Formation - Tensu,Spell Card,,Continuous,,,
881,Lady of the Lake,Tuner Monster,1,Aqua,LIGHT,200,1800
882,Sylvan Cherubsprout,Effect Monster,1,Plant,LIGHT,100,100
883,Guardian Ceal,Effect Monster,4,Pyro,FIRE,1700,1400
884,Daigusto Eguls,Synchro Monster,7,Psychic,WIND,2600,1800
885,Kid Guard,Trap Card,,Normal,,,
886,Cú Chulainn the Awakened,Ritual Effect Monster,4,Warrior,LIGHT,500,1000
887,Tour Guide From the Underworld,Effect Monster,3,Fiend,DARK,1000,600
888,Great Phantom Thief,Effect Monster,3,Spellcaster,EARTH,1000,1000
889,First of the Dragons,Fusion Monster,9,Dragon,DARK,2700,2000
890,Forbidden Dark Contract with the Swamp King,Spell Card,,Continuous,,,
891,Holograh,Normal Monster,3,Machine,EARTH,1100,700
892,Bujingi Pavo,Effect Monster,4,Winged Beast,LIGHT,1700,800
893,Earthbound Immortal Aslla piscu,Effect Monster,10,Winged Beast,DARK,2500,2500
894,Masked HERO Vapor,Fusion Monster,6,Warrior,WATER,2400,2000
895,Contact with the Aquamirror,Spell Card,,Normal,,,
896,Time Magic Hammer,Fusion Monster,2,Spellcaster,LIGHT,500,400
897,Barrier Statue of the Torrent,Effect Monster,4,Aqua,WATER,1000,1000
898,Bug Emergency,Trap Card,,Normal,,,
899,Amazoness Tiger,Effect Monster,4,Beast,EARTH,1100,1500
900,Gradius,Normal Monster,4,Machine,LIGHT,1200,800
901,Jurrac Guaiba,Effect Monster,4,Dinosaur,FIRE,1700,400
902,Neko Mane King,Effect Monster,1,Beast,EARTH,0,0
903,Frightfur Wolf,Fusion Monster,6,Fiend,DARK,2000,1500
904,Psychic Feel Zone,Spell Card,,Normal,,,
905,Super Hippo Carnival,Spell Card,,Quick-Play,,,
906,Hippo Token,Token,,Beast,,,
907,Hippo Token,Token,,Beast,,,
908,Hippo Token,Token,,Beast,,,
909,Hippo Token,Token,,Beast,,,
910,Saber Slash,Spell Card,,Normal,,,
911,Galaxy Serpent,Normal Tuner Monster,2,Dragon,LIGHT,1000,0
912,The Fang of Critias,Spell Card,,Normal,,,
913,Luster Dragon,Normal Monster,4,Dragon,WIND,1900,1600
914,Shien's Castle of Mist,Spell Card,,Field,,,
915,Xyz Universe,Trap Card,,Normal,,,
916,That Grass Looks Greener,Spell Card,,Normal,,,
917,Lancer Dragonute,Effect Monster,4,Dragon,DARK,1500,1800
918,Crystal Counter,Trap Card,,Normal,,,
919,Worm Hope,Flip Effect Monster,1,Reptile,LIGHT,800,1500
920,The Kaiju Files,Spell Card,,Continuous,,,
921,Lunalight Reincarnation Dance,Trap Card,,Normal,,,
922,Bujincident,Trap Card,,Normal,,,
923,Horus the Black Flame Dragon LV6,Effect Monster,6,Dragon,FIRE,2300,1600
924,Reinforced Space,Trap Card,,Normal,,,
925,Xyz Soul,Trap Card,,Normal,,,
926,Destructotron,Effect Monster,4,Psychic,EARTH,1600,400
927,Emperor of the Land and Sea,Normal Monster,5,Reptile,WATER,1800,1500
928,Darklord Superbia,Effect Monster,8,Fairy,DARK,2900,2400
929,TGX1-HL,Spell Card,,Quick-Play,,,
930,Invoked Elysium,Fusion Monster,10,Fairy,LIGHT,3200,4000
931,Quick-Span Knight,Tuner Monster,3,Machine,EARTH,1000,800
932,Lunalight Black Sheep,Effect Monster,2,Beast-Warrior,DARK,100,600
933,Dark Blade,Normal Monster,4,Warrior,DARK,1800,1500
934,Electric Snake,Effect Monster,3,Thunder,LIGHT,800,900
935,Dark Simorgh,Effect Monster,7,Winged Beast,DARK,2700,1000
936,Proof of Powerlessness,Trap Card,,Normal,,,
937,Cannon Soldier,Effect Monster,4,Machine,DARK,1400,1300
938,Naturia Fruitfly,Effect Monster,3,Insect,EARTH,800,1500
939,King of the Feral Imps,XYZ Monster,4,Reptile,DARK,2300,2000
940,Machine Angel Absolute Ritual,Spell Card,,Ritual,,,
941,Lunalight Blue Cat,Effect Monster,4,Beast-Warrior,DARK,1600,1200
942,Grave Protector,Effect Monster,4,Fiend,DARK,0,2000
943,Sky Scourge Enrise,Effect Monster,8,Fairy,LIGHT,2400,1500
944,Etoile Cyber,Effect Monster,4,Warrior,EARTH,1200,1600
945,Light Laser,Spell Card,,Equip,,,
946,Artifact Achilleshield,Effect Monster,5,Fairy,LIGHT,1500,2200
947,Fortissimo,Spell Card,,Continuous,,,
948,Kickfire,Trap Card,,Continuous,,,
949,Elemental HERO Air Neos,Fusion Monster,7,Warrior,WIND,2500,2000
950,Mutant Mindmaster,Effect Monster,6,Spellcaster,DARK,0,2500
951,Zoodiac Tigermortar,XYZ Monster,4,Beast-Warrior,EARTH,0,0
952,Outstanding Dog Marron,Effect Monster,1,Beast,LIGHT,100,100
953,Gamma the Magnet Warrior,Normal Monster,4,Rock,EARTH,1500,1800
954,Ritual Beast Steeds,Trap Card,,Normal,,,
955,Chaos Trap Hole,Trap Card,,Counter,,,
956,Reckoned Power,Trap Card,,Normal,,,
957,Blackwing - Elphin the Raven,Effect Monster,6,Winged Beast,DARK,2200,1200
958,Super Quantal Mech Beast Aeroboros,XYZ Monster,4,Machine,WIND,2200,2400
959,Gellenduo,Effect Monster,4,Fairy,LIGHT,1700,0
960,Protective Soul Ailin,Union Effect Monster,1,Fairy,LIGHT,0,0
961,Sylvan Bladefender,Effect Monster,4,Plant,EARTH,1900,700
962,Blast Asmodian,Effect Monster,3,Fiend,FIRE,1000,300
963,Xyz Change Tactics,Spell Card,,Continuous,,,
964,"30,000-Year White Turtle",Normal Monster,5,Aqua,WATER,1250,2100
965,Worm Xex,Effect Monster,4,Reptile,LIGHT,1800,1000
966,Raigeki Bottle,Trap Card,,Continuous,,,
967,Union Rider,Effect Monster,2,Machine,WIND,1000,1000
968,Spore,Tuner Monster,1,Plant,WIND,400,800
969,Sasuke Samurai 2,Effect Monster,1,Warrior,WIND,200,300
970,Beast of Talwar,Normal Monster,6,Fiend,DARK,2400,2150
971,Buster Dragon,Synchro Monster,8,Dragon,DARK,1200,2800
972,Gorgon Egg,Normal Monster,3,Fiend,DARK,300,1300
973,Barkion's Bark,Spell Card,,Normal,,,
974,Great Angus,Normal Monster,4,Beast,FIRE,1800,600
975,"Tytannial, Princess of Camellias",Effect Monster,8,Plant,WIND,2800,2600
976,Ancient Leaf,Spell Card,,Normal,,,
977,Laval Blaster,Effect Monster,4,Warrior,FIRE,1200,800
978,Madolche Magileine,Effect Monster,4,Spellcaster,EARTH,1400,1200
979,Goblin's Secret Remedy,Spell Card,,Normal,,,
980,Evigishki Mind Augus,Ritual Effect Monster,6,Aqua,WATER,2500,2000
981,B. Skull Dragon,Fusion Monster,9,Dragon,DARK,3200,2500
982,Instant Neo Space,Spell Card,,Equip,,,
983,Hunting Instinct,Trap Card,,Normal,,,
984,Flyfang,Effect Monster,3,Fish,WIND,1600,300
985,Bujingi Raven,Effect Monster,4,Winged Beast,LIGHT,1600,900
986,Different Dimension Capsule,Spell Card,,Normal,,,
987,Hieratic Seal of Banishment,Trap Card,,Normal,,,
988,Nin-Ken Dog,Normal Monster,4,Beast-Warrior,WIND,1800,1000
989,Gagaga Cowboy,XYZ Monster,4,Warrior,EARTH,1500,2400
990,Goblin Calligrapher,Normal Monster,1,Fiend,DARK,400,400
991,Dark Calling,Spell Card,,Normal,,,
992,Wind-Up Dog,Effect Monster,3,Beast,EARTH,1200,900
993,Delta Tri,Effect Monster,4,Machine,LIGHT,1200,1000
994,Shattered Axe,Trap Card,,Continuous,,,
995,People Running About,Normal Monster,2,Pyro,FIRE,600,600
996,Bolt Escargot,Normal Monster,5,Thunder,WATER,1400,1500
997,Scrounging Goblin,Effect Monster,4,Fiend,EARTH,1000,2000
998,Elephant Statue of Disaster,Effect Monster,3,Rock,EARTH,1500,0
999,"Zeradias, Herald of Heaven",Effect Monster,4,Fairy,LIGHT,2100,800
1000,Hydro Pressure Cannon,Spell Card,,Equip,,,
1001,Triangle Ecstasy Spark,Spell Card,,Normal,,,
1002,Card Shuffle,Spell Card,,Continuous,,,
1003,Commander of Swords,Trap Card,,Normal,,,
1004,Harpie Lady Sisters,Effect Monster,6,Winged Beast,WIND,1950,2100
1005,Deskbot Base,Spell Card,,Field,,,
1006,Koa'ki Meiru Shield,Trap Card,,Normal,,,
1007,Fabled Ashenveil,Effect Monster,4,Fiend,LIGHT,1600,1200
1008,Inferno Reckless Summon,Spell Card,,Quick-Play,,,
1009,World Suppression,Trap Card,,Normal,,,
1010,Performapal Fireflux,Pendulum Effect Monster,4,Insect,LIGHT,1200,1600
1011,Delta The Magnet Warrior,Effect Monster,4,Rock,EARTH,1600,1400
1012,Trifortressops,Effect Monster,6,Machine,DARK,1600,2800
1013,Wattwoodpecker,Effect Monster,3,Thunder,LIGHT,1000,100
1014,Prime Material Dragon,Effect Monster,6,Dragon,LIGHT,2400,2000
1015,Wind-Up Soldier,Effect Monster,4,Warrior,EARTH,1800,1200
1016,Invoked Purgatrio,Fusion Monster,7,Fiend,FIRE,2300,2000
1017,Legendary Ebon Steed,Spell Card,,Equip,,,
1018,Legendary Maju Garzett,Effect Monster,8,Fiend,DARK,0,0
1019,Super Quantum Blue Layer,Effect Monster,3,Psychic,WATER,1200,2000
1020,Kozmourning,Trap Card,,Continuous,,,
1021,"Freya, Spirit of Victory",Effect Monster,1,Fairy,LIGHT,100,100
1022,Kozmoll Dark Lady,Effect Monster,5,Psychic,DARK,2200,1800
1023,Gagaga Gardna,Effect Monster,4,Warrior,EARTH,1500,2000
1024,Koa'ki Meiru Drago,Effect Monster,4,Dragon,WIND,1900,1600
1025,Aqua Snake,Normal Monster,3,Aqua,WATER,1050,900
1026,Artifact Sanctum,Trap Card,,Normal,,,
1027,Frontline Observer,Effect Monster,4,Machine,EARTH,1000,1500
1028,Tackle Crusader,Effect Monster,4,Rock,EARTH,1500,1800
1029,Revival Rose,Effect Monster,4,Plant,DARK,1300,1300
1030,Curse of Fiend,Spell Card,,Normal,,,
1031,Leghul,Effect Monster,1,Insect,EARTH,300,350
1032,Ojama Green,Normal Monster,2,Beast,LIGHT,0,1000
1033,Dunames Dark Witch,Normal Monster,4,Fairy,LIGHT,1800,1050
1034,Rare Metalmorph,Trap Card,,Continuous,,,
1035,"Neo-Parshath, the Sky Paladin",Effect Monster,7,Fairy,LIGHT,2300,2000
1036,Symphonic Warrior Guitaar,Pendulum Effect Monster,3,Machine,WIND,1500,100
1037,Baby Tiragon,XYZ Monster,1,Dragon,EARTH,900,900
1038,Treeborn Frog,Effect Monster,1,Aqua,WATER,100,100
1039,Raigeki,Spell Card,,Normal,,,
1040,Exodia Necross,Effect Monster,4,Spellcaster,DARK,1800,0
1041,Waboku,Trap Card,,Normal,,,
1042,Digital Bug Scaradiator,XYZ Monster,3,Insect,LIGHT,1800,1400
1043,Radiant Spirit,Effect Monster,7,Reptile,LIGHT,2000,1500
1044,Neo Galaxy-Eyes Cipher Dragon,XYZ Monster,9,Dragon,LIGHT,4500,3000
1045,Advanced Dark,Spell Card,,Field,,,
1046,Ultimate Ancient Gear Golem,Fusion Monster,10,Machine,EARTH,4400,3400
1047,Cyber Network,Trap Card,,Continuous,,,
1048,Ritual Beast Ulti-Pettlephin,Fusion Monster,6,Aqua,WIND,200,2800
1049,Abaki,Effect Monster,4,Fiend,FIRE,1700,1100
1050,Artifact Beagalltach,Effect Monster,5,Fairy,LIGHT,1400,2100
1051,Rainbow Veil,Spell Card,,Equip,,,
1052,Goblin Pothole Squad,Effect Monster,4,Warrior,EARTH,1500,400
1053,Garuda the Wind Spirit,Effect Monster,4,Winged Beast,WIND,1600,1200
1054,Dark Lucius LV6,Effect Monster,6,Fiend,EARTH,1700,600
1055,Kanan the Swordmistress,Normal Monster,4,Warrior,EARTH,1400,1400
1056,Missing Force,Effect Monster,4,Warrior,DARK,1500,1000
1057,Curse of the Circle,Trap Card,,Normal,,,
1058,Flame Dancer,Normal Monster,2,Pyro,FIRE,550,450
1059,Swords of Concealing Light,Spell Card,,Continuous,,,
1060,SZW - Fenrir Sword,Effect Monster,4,Beast,LIGHT,1800,1100
1061,Madolche Lesson,Trap Card,,Normal,,,
1062,Nuvia the Wicked,Effect Monster,4,Fiend,DARK,2000,800
1063,Phantom Skyblaster,Effect Monster,4,Fiend,DARK,1100,800
1064,Des Dendle,Union Effect Monster,4,Plant,EARTH,300,2000
1065,Wicked Plant Token,Token,,Plant,,,
1066,Madolche Mewfeuille,Effect Monster,3,Beast,EARTH,500,300
1067,Boon of the Meklord Emperor,Spell Card,,Normal,,,
1068,Laval the Greater,Synchro Monster,6,Warrior,FIRE,2400,800
1069,Strength of Prophecy,Effect Monster,4,Spellcaster,FIRE,1500,1400
1070,CXyz Comics Hero Legend Arthur,XYZ Monster,5,Warrior,EARTH,3000,2400
1071,Xyz Unit,Spell Card,,Equip,,,
1072,Giant Soldier of Stone,Normal Monster,3,Rock,EARTH,1300,2000
1073,Pre-Preparation of Rites,Spell Card,,Normal,,,
1074,Sword Arm of Dragon,Normal Monster,6,Dinosaur,EARTH,1750,2030
1075,Qliphort Stealth,Pendulum Effect Monster,8,Machine,EARTH,2800,1000
1076,Destiny HERO - Diamond Dude,Effect Monster,4,Warrior,DARK,1400,1600
1077,Gem-Knight Aquamarine,Fusion Monster,6,Aqua,EARTH,1400,2600
1078,Hieratic Seal of the Sun Dragon Overlord,Normal Monster,8,Dragon,LIGHT,0,0
1079,Gagagarush,Trap Card,,Normal,,,
1080,Double Dragon Descent,Trap Card,,Normal,,,
1081,Charcoal Inpachi,Normal Monster,1,Pyro,FIRE,100,2100
1082,Ice Princess Zereort,XYZ Monster,5,Winged Beast,WATER,2500,2100
1083,Dark Plant,Normal Monster,1,Plant,DARK,300,400
1084,Storm,Spell Card,,Normal,,,
1085,Dream Clown,Effect Monster,3,Warrior,EARTH,1200,900
1086,Vylon Charger,Effect Monster,4,Fairy,LIGHT,1000,1000
1087,Fluffal Penguin,Effect Monster,4,Fairy,WATER,1600,1100
1088,Anteatereatingant,Effect Monster,5,Insect,EARTH,2000,500
1089,Evil HERO Wild Cyclone,Fusion Monster,8,Fiend,EARTH,1900,2300
1090,Battlin' Boxer Veil,Effect Monster,4,Warrior,FIRE,0,1800
1091,Deepsea Macrotrema,Effect Monster,1,Fish,WATER,600,100
1092,Boot-Up Soldier - Dread Dynamo,Effect Monster,4,Machine,EARTH,0,2000
1093,Rocket Hand,Trap Card,,Normal,,,
1094,Dragunity Darkspear,Tuner Monster,3,Dragon,WIND,1000,1000
1095,Ghost Knight of Jackal,Effect Monster,5,Beast-Warrior,EARTH,1700,1600
1096,Noble Knight Gwalchavad,Effect Monster,4,Warrior,LIGHT,1500,1800
1097,Desertapir,Flip Effect Monster,3,Beast,EARTH,900,300
1098,Great White,Normal Monster,4,Fish,WATER,1600,800
1099,Blossom Bombardment,Trap Card,,Normal,,,
1100,Dverg of the Nordic Alfar,Effect Monster,1,Warrior,EARTH,100,1000
1101,Cloudian - Storm Dragon,Effect Monster,4,Fairy,WATER,1000,0
1102,Rodenut,Effect Monster,1,Beast,EARTH,100,100
1103,Photon Caesar,Effect Monster,8,Warrior,LIGHT,2000,2800
1104,Gottoms' Emergency Call,Trap Card,,Normal,,,
1105,Castle of Dragon Souls,Trap Card,,Continuous,,,
1106,Stygian Street Patrol,Effect Monster,4,Fiend,DARK,1600,1200
1107,Spirit of Flames,Effect Monster,4,Pyro,FIRE,1700,1000
1108,Invoked Caliga,Fusion Monster,4,Beast,DARK,1000,1800
1109,Dummy Golem,Flip Effect Monster,2,Rock,EARTH,800,800
1110,Turbo Cannon,Synchro Monster,3,Machine,FIRE,0,0
1111,Infernity Randomizer,Effect Monster,1,Warrior,DARK,900,0
1112,Steel Scorpion,Effect Monster,1,Machine,EARTH,250,300
1113,Sage's Stone,Spell Card,,Normal,,,
1114,Majespecter Sonics,Spell Card,,Quick-Play,,,
1115,Malice Dispersion,Spell Card,,Quick-Play,,,
1116,Ninjitsu Art of Shadow Sealing,Trap Card,,Continuous,,,
1117,Heavy Freight Train Derricrane,Effect Monster,10,Machine,EARTH,2800,2000
1118,Abyss Script - Rise of the Abyss King,Spell Card,,Normal,,,
1119,Grand Tiki Elder,Normal Monster,4,Fiend,DARK,1500,800
1120,Thunderclap Skywolf,Effect Monster,7,Thunder,LIGHT,2500,2000
1121,Treaty on Uniform Nomenclature,Trap Card,,Normal,,,
1122,Flare Resonator,Tuner Monster,3,Fiend,FIRE,300,1300
1123,Dark Flare Knight,Fusion Monster,6,Warrior,DARK,2200,800
1124,Man-Eating Treasure Chest,Normal Monster,4,Fiend,DARK,1600,1000
1125,King Dragun,Fusion Monster,7,Dragon,DARK,2400,1100
1126,P.M. Captor,Pendulum Effect Monster,4,Zombie,DARK,1800,0
1127,Flamvell Baby,Tuner Monster,1,Pyro,FIRE,800,200
1128,Chain Resonator,Tuner Monster,1,Fiend,LIGHT,100,100
1129,Mokey Mokey King,Fusion Monster,6,Fairy,LIGHT,300,100
1130,Trap Eater,Tuner Monster,4,Fiend,DARK,1900,1600
1131,Yellow Gadget,Effect Monster,4,Machine,EARTH,1200,1200
1132,Firestorm Prominence,Effect Monster,7,Reptile,FIRE,2000,1500
1133,Satellarknight Rigel,Effect Monster,4,Warrior,LIGHT,1900,700
1134,Neo-Spacian Twinkle Moss,Fusion Monster,4,Plant,LIGHT,500,1100
1135,Spiritual Beast Pettlephin,Effect Monster,4,Aqua,WIND,0,2000
1136,Exodius the Ultimate Forbidden Lord,Effect Monster,10,Spellcaster,DARK,0,0
1137,Granadora,Effect Monster,4,Reptile,WATER,1900,700
1138,Wall of Illusion,Effect Monster,4,Fiend,DARK,1000,1850
1139,Stronghold the Moving Fortress,Trap Card,,Continuous,,,
1140,Moulinglacia the Elemental Lord,Effect Monster,8,Sea Serpent,WATER,2800,2200
1141,Majespecter Storm,Spell Card,,Normal,,,
1142,Denko Sekka,Effect Monster,4,Thunder,LIGHT,1700,1000
1143,Voltic Bicorn,Synchro Monster,7,Beast,LIGHT,2500,2000
1144,Core Compression,Spell Card,,Normal,,,
1145,Madolche Chateau,Spell Card,,Field,,,
1146,Moon Dance Ritual,Trap Card,,Continuous,,,
1147,Ancient One of the Deep Forest,Normal Monster,6,Beast,EARTH,1800,1900
1148,Dragon Knight Draco-Equiste,Fusion Monster,10,Dragon,WIND,3200,2000
1149,Spirit of the Books,Normal Monster,4,Winged Beast,WIND,1400,1200
1150,Laval Judgment Lord,Effect Monster,7,Warrior,FIRE,2700,1800
1151,Multiple Destruction,Trap Card,,Normal,,,
1152,Book of Moon,Spell Card,,Quick-Play,,,
1153,Blue Thunder T-45,Effect Monster,4,Machine,LIGHT,1700,1000
1154,Thunder Option Token,Token,,Machine,,,
1155,Super Soldier Ritual,Spell Card,,Ritual,,,
1156,Great Moth,Effect Monster,8,Insect,EARTH,2600,2500
1157,Norito the Moral Leader,XYZ Monster,6,Spellcaster,LIGHT,2700,2000
1158,Evo-Price,Spell Card,,Continuous,,,
1159,Mushroom Man,Normal Monster,2,Plant,EARTH,800,600
1160,Mystic Piper,Effect Monster,1,Spellcaster,LIGHT,0,0
1161,Shadow Vampire,Effect Monster,5,Zombie,DARK,2000,0
1162,Trance the Magic Swordsman,Normal Monster,6,Spellcaster,EARTH,2600,200
1163,Elemental HERO Mariner,Fusion Monster,5,Warrior,WATER,1400,1000
1164,Rider of the Storm Winds,Tuner Monster,1,Dragon,LIGHT,500,200
1165,Malice Ascendant,Effect Monster,4,Zombie,DARK,700,1000
1166,Gaia Plate the Earth Giant,Effect Monster,8,Rock,EARTH,2800,1000
1167,8-Claws Scorpion,Effect Monster,2,Insect,DARK,300,200
1168,Catapult Zone,Spell Card,,Field,,,
1169,Gradius' Option,Effect Monster,1,Machine,LIGHT,0,0
1170,Shark Caesar,XYZ Monster,3,Fish,WATER,1800,2000
1171,Koa'ki Meiru Overload,Effect Monster,4,Rock,EARTH,1900,1200
1172,Negate Attack,Trap Card,,Counter,,,
1173,Life Absorbing Machine,Trap Card,,Continuous,,,
1174,Token Stampede,Trap Card,,Continuous,,,
1175,Samurai Sword Baron,Effect Monster,4,Warrior,EARTH,1600,1200
1176,Inferno Tempest,Spell Card,,Quick-Play,,,
1177,Archfiend Interceptor,Effect Monster,4,Fiend,DARK,1400,1600
1178,Ice Queen,Effect Monster,8,Spellcaster,WATER,2900,2100
1179,"Gleipnir, the Fetters of Fenrir",Trap Card,,Normal,,,
1180,The Atmosphere,Effect Monster,8,Winged Beast,WIND,1000,800
1181,Gokipon,Effect Monster,2,Insect,EARTH,800,800
1182,DUCKER Mobile Cannon,Flip Effect Monster,3,Machine,LIGHT,500,500
1183,Synchro Material,Trap Card,,Normal,,,
1184,Ritual Beast Tamer Elder,Effect Monster,2,Psychic,WIND,200,1000
1185,Darklord Contact,Spell Card,,Normal,,,
1186,Opticlops,Normal Monster,4,Fiend,DARK,1800,1700
1187,Dark Grepher,Effect Monster,4,Warrior,DARK,1700,1600
1188,Twilight Ninja Shingetsu,Effect Monster,4,Warrior,DARK,1500,100
1189,Infernity Inferno,Trap Card,,Normal,,,
1190,Blue Dragon Ninja,Effect Monster,5,Sea Serpent,WATER,2100,1200
1191,Windwitch - Winter Bell,Synchro Monster,7,Spellcaster,WIND,2400,2000
1192,Morphtronic Mix-up,Trap Card,,Normal,,,
1193,Crimson Ninja,Flip Effect Monster,1,Warrior,EARTH,300,300
1194,Superheavy Samurai Soulhorns,Effect Monster,1,Machine,EARTH,0,300
1195,Summoner of Illusions,Flip Effect Monster,3,Spellcaster,LIGHT,800,900
1196,Tanngnjostr of the Nordic Beasts,Effect Monster,3,Beast,EARTH,800,1100
1197,Cannon Soldier MK-2,Effect Monster,5,Machine,EARTH,1900,1200
1198,Arlownay,Normal Monster,3,Plant,EARTH,800,1000
1199,Ivy Shackles,Trap Card,,Continuous,,,
1200,Unity,Spell Card,,Quick-Play,,,
1201,Draco Face-Off,Spell Card,,Quick-Play,,,
1202,Nekroz Mirror,Spell Card,,Ritual,,,
1203,Noble Arms - Gallatin,Spell Card,,Equip,,,
1204,Superheavy Samurai Thief,Effect Monster,10,Machine,EARTH,1000,1000
1205,Constellar Zubeneschamali,Effect Monster,5,Machine,LIGHT,2100,1400
1206,Solo the Melodious Songstress,Effect Monster,4,Fairy,LIGHT,1600,1000
1207,Shore Knight,Effect Monster,4,Warrior,WATER,1400,1200
1208,Common Soul,Spell Card,,Continuous,,,
1209,The Tricky,Effect Monster,5,Spellcaster,WIND,2000,1200
1210,Blackwing - Zephyros the Elite,Effect Monster,4,Winged Beast,DARK,1600,1000
1211,Infernoid Onuncu,Effect Monster,10,Fiend,FIRE,3000,3000
1212,Risebell the Star Psycher,Effect Monster,4,Psychic,WIND,1500,1500
1213,Shuffle Reborn,Spell Card,,Normal,,,
1214,Spellbook Magician of Prophecy,Effect Monster,2,Spellcaster,WATER,500,400
1215,Jellyfish,Normal Monster,4,Aqua,WATER,1200,1500
1216,Rescue Cat,Effect Monster,4,Beast,EARTH,300,100
1217,"Gaia, the Polar Knight",Effect Monster,4,Warrior,DARK,1600,1200
1218,Typhoon,Trap Card,,Normal,,,
1219,Red Sprinter,Effect Monster,4,Fiend,FIRE,1700,1200
1220,Vorse Raider,Normal Monster,4,Beast-Warrior,DARK,1900,1200
1221,Vorse Raider,Normal Monster,4,Beast-Warrior,DARK,1900,1200
1222,Oafdragon Magician,Pendulum Effect Monster,6,Spellcaster,WIND,2100,1400
1223,Worm Erokin,Effect Monster,6,Reptile,LIGHT,2400,1200
1224,Debris Dragon,Tuner Monster,4,Dragon,WIND,1000,2000
